"Record ID","src_enUS","tg_frFR","tg_deDE","tg_ptBR","tg_esLA","tg_jaJP","tg_zhCN","tg_plPL","tg_ukUA","tg_ruRU","tg_trTR","Path"
"HW.HUD.EventText,NPCKill.LostKnight.GodName","{Gender}|gender({TeamAttitude} <PlayerName>{GodName}</> has destroyed the Lost Knight!,{TeamAttitude} <PlayerName>{GodName}</> has destroyed the Lost Knight!)","{Gender}|gender({TeamAttitude} {GodName} a détruit le Chevalier égaré !,{TeamAttitude} {GodName} a détruit le Chevalier égaré !)","{Gender}|gender({TeamAttitude} {GodName} hat den Verlorenen Ritter vernichtet!,{TeamAttitude} {GodName} hat den Verlorenen Ritter vernichtet!)","{Gender}|gender({TeamAttitude} {GodName} destruiu o Cavaleiro Perdido!,{TeamAttitude} {GodName} destruiu o Cavaleiro Perdido!)","¡{Gender}|gender({TeamAttitude} {GodName} destruyó al caballero perdido!,{TeamAttitude} {GodName} destruyó al caballero perdido!)","{Gender}|gender({TeamAttitude} {GodName}が行方知れずの騎士を破壊した！,{TeamAttitude} {GodName}が行方知れずの騎士を破壊した！)","{Gender}|gender({TeamAttitude}{GodName}击败了失落骑士！,{TeamAttitude}{GodName}击败了失落骑士！)","{Gender}|gender({TeamAttitude} {GodName} niszczy Zagubionego Rycerza!,{TeamAttitude} {GodName} niszczy Zagubionego Rycerza!)","{Gender}|gender({TeamAttitude} {GodName} знищив Загубленого лицаря!,{TeamAttitude} {GodName} знищила Загубленого лицаря!)","{Gender}|gender({TeamAttitude} {GodName} уничтожил Потерянного рыцаря!,{TeamAttitude} {GodName} уничтожила Потерянного рыцаря!)","{Gender}|gender({TeamAttitude} {GodName} Kayıp Şövalye'yi yok etti!,{TeamAttitude} {GodName} Kayıp Şövalye'yi yok etti!)","HW.HUD.EventText"
"HW.HUD.EventText,NPCKill.LostKnight.PlayerName","<PlayerName>{PlayerName}</> has destroyed the Lost Knight!","{PlayerName} a détruit le Chevalier égaré !","{PlayerName} hat den Verlorenen Ritter vernichtet!","{PlayerName} destruiu o Cavaleiro Perdido!","¡{PlayerName} destruyó al caballero perdido!","{PlayerName}が行方知れずの騎士を破壊した！","{PlayerName}击败了失落骑士！","{PlayerName} niszczy Zagubionego Rycerza!","Гравець {PlayerName} знищив Загубленого лицаря!","{PlayerName} уничтожает Потерянного рыцаря!","{PlayerName}, Kayıp Şövalye'yi yok etti!","HW.HUD.EventText"
"HW.HUD.EventText,NPCKill.PyroKill.GodName","{Gender}|gender({TeamAttitude} <PlayerName>{GodName}</> has destroyed the Pyromancer!,{TeamAttitude} <PlayerName>{GodName}</> has destroyed the Pyromancer!)","{Gender}|gender({TeamAttitude} {GodName} a terrassé le pyromancien !,{TeamAttitude} {GodName} a terrassé le pyromancien !)","{Gender}|gender({TeamAttitude} {GodName} hat den Pyromanten besiegt!,{TeamAttitude} {GodName} hat den Pyromanten besiegt!)","{Gender}|gender({TeamAttitude} {GodName} destruiu o Piromante!,{TeamAttitude} {GodName} destruiu o Piromante!)","¡{Gender}|gender({TeamAttitude} {GodName} destruyó al Piromante!,{TeamAttitude} {GodName} destruyó al Piromante!)","{Gender}({TeamAttitude} {GodName}が炎術師を倒しました！{TeamAttitude} {GodName}が炎術師を倒しました！)","{Gender}|gender({TeamAttitude} {GodName}击败了火法师！,{TeamAttitude} {GodName}击败了火法师！)","{Gender}|gender({TeamAttitude} {GodName} zniszczył Piromantę!,{TeamAttitude} {GodName} zniszczyła Piromantę!)","{Gender}|gender({TeamAttitude} {GodName} знищив Піроманта!,{TeamAttitude} {GodName} знищила Піроманта!)","{Gender}|gender({TeamAttitude} {GodName} уничтожил Пироманта!,{TeamAttitude} {GodName} уничтожила Пироманта!)","{Gender}|gender({TeamAttitude} {GodName} Alev Kâhini'ni yok etti!, {TeamAttitude} {GodName} Alev Kâhini'ni yok etti!)","HW.HUD.EventText"
"HW.HUD.EventText,NPCKill.PyroKill.PlayerName","<PlayerName>{PlayerName}</> has destroyed the Pyromancer!","{PlayerName} a terrassé le pyromancien !","{PlayerName} hat den Pyromanten besiegt!","{PlayerName} destruiu o Piromante!","¡{PlayerName} destruyó al Piromante!","{PlayerName}が炎術師を倒しました！","{PlayerName}击败了火法师！","{PlayerName} niszczy Piromantę!","{PlayerName} знищує Піроманта!","{PlayerName} убивает Пироманта!","{PlayerName}, Alev Kâhini'ni yok etti!","HW.HUD.EventText"
"HW.HUD.EventText,PentaKill.GodName","{Gender}|gender({TeamAttitude} <PlayerName>{GodName}</> has a Penta Kill!,{TeamAttitude} <PlayerName>{GodName}</> has a Penta Kill!)","{Gender}|gender({TeamAttitude} {GodName} fait un quintuplé !,{TeamAttitude} {GodName} fait un quintuplé !)","{Gender}|gender({TeamAttitude} {GodName} hat einen Penta-Kill erzielt!,{TeamAttitude} {GodName} hat einen Penta-Kill erzielt!)","{Gender}|gender({TeamAttitude} {GodName} fez uma eliminação quíntupla!,{TeamAttitude} {GodName} fez uma eliminação quíntupla!)","¡{Gender}|gender({TeamAttitude} {GodName} logró una eliminación quíntuple!,{TeamAttitude} {GodName} logró una eliminación quíntuple!)","{Gender}|gender({TeamAttitude}{GodName}がペンタキルを達成しました！,{TeamAttitude}{GodName}がペンタキルを達成しました！)","{Gender}|gender({TeamAttitude}{GodName}达成灭神五杀！,{TeamAttitude}{GodName}达成灭神五杀！)","{Gender}|gender({TeamAttitude} {GodName} zdobywa pięciokrotne zabójstwo!,{TeamAttitude} {GodName} zdobywa pięciokrotne zabójstwo!)","{Gender}|gender({TeamAttitude} {GodName} вчинив п'ятиразове вбивство!,{TeamAttitude} {GodName} вчинила п'ятиразове вбивство!)","{Gender}|gender({TeamAttitude} {GodName} совершил пятикратное убийство!,{TeamAttitude} {GodName} совершила пятикратное убийство!)","{Gender}|gender({TeamAttitude} {GodName} Beşli Katliam yaptı!,{TeamAttitude} {GodName} Beşli Katliam yaptı!)","HW.HUD.EventText"
"HW.HUD.EventText,PentaKill.PlayerName","<PlayerName>{PlayerName}</> has a Penta Kill!","{PlayerName} fait un quintuplé !","Penta-Kill von {PlayerName}!","{PlayerName} fez uma eliminação quíntupla!","¡{PlayerName} logró una eliminación quíntuple!","{PlayerName}がペンタキルを達成しました！","{PlayerName}达成五杀！","{PlayerName} zdobywa pięciokrotne zabójstwo!","{PlayerName} чинить п'ятиразове вбивство!","{PlayerName} совершает пятикратное убийство!","{PlayerName} Beşli Katliam yaptı!","HW.HUD.EventText"
"HW.HUD.EventText,QuadraKill.GodName","{Gender}|gender({TeamAttitude} <PlayerName>{GodName}</> has a Quadra Kill!,{TeamAttitude} <PlayerName>{GodName}</> has a Quadra Kill!)","{Gender}|gender({TeamAttitude} {GodName} fait un quadruplé !,{TeamAttitude} {GodName} fait un quadruplé !)","{Gender}|gender({TeamAttitude} {GodName} hat einen Quadra-Kill erzielt!,{TeamAttitude} {GodName} hat einen Quadra-Kill erzielt!)","{Gender}|gender({TeamAttitude} {GodName} fez uma eliminação quádrupla!,{TeamAttitude} {GodName} fez uma eliminação quádrupla!)","¡{Gender}|gender({TeamAttitude} {GodName} logró una eliminación cuádruple!,{TeamAttitude} {GodName} logró una eliminación cuádruple!)","{Gender}|gender({TeamAttitude}{GodName}がクアドラキルを達成しました！,{TeamAttitude}{GodName}がクアドラキルを達成しました！)","{Gender}|gender({TeamAttitude}{GodName}达成四杀！,{TeamAttitude}{GodName}达成四杀！)","{Gender}|gender({TeamAttitude} {GodName} zdobywa czterokrotne zabójstwo!,{TeamAttitude} {GodName} zdobywa czterokrotne zabójstwo!)","{Gender}|gender({TeamAttitude} {GodName} вчинив чотириразове вбивство!,{TeamAttitude} {GodName} вчинила чотириразове вбивство!)","{Gender}|gender({TeamAttitude} {GodName} совершил четырехкратное убийство!,{TeamAttitude} {GodName} совершила четырехкратное убийство!)","{Gender}|gender({TeamAttitude} {GodName} Dörtlü Katliam yaptı!,{TeamAttitude} {GodName} Dörtlü Katliam yaptı!)","HW.HUD.EventText"
"HW.HUD.EventText,QuadraKill.PlayerName","<PlayerName>{PlayerName}</> has a Quadra Kill!","{PlayerName} fait un quadruplé !","Quadra-Kill von {PlayerName}!","{PlayerName} fez uma eliminação quádrupla!","¡{PlayerName} logró una eliminación cuádruple!","{PlayerName}がクアドラキルを達成しました！","{PlayerName}达成四杀！","{PlayerName} zdobywa poczwórne zabójstwo!","{PlayerName} чинить чотириразове вбивство!","{PlayerName} совершает четырехкратное убийство!","{PlayerName} Dörtlü Katliam yaptı!","HW.HUD.EventText"
"HW.HUD.EventText,Rampage.GodName","{Gender}|gender({TeamAttitude} <PlayerName>{GodName}</> is on a Rampage!,{TeamAttitude} <PlayerName>{GodName}</> is on a Rampage!)","{Gender}|gender({TeamAttitude} {GodName} fait un massacre !,{TeamAttitude} {GodName} fait un massacre !)","{Gender}|gender({TeamAttitude} {GodName} ist in Raserei verfallen!,{TeamAttitude} {GodName} ist in Raserei verfallen!)","{Gender}|gender({TeamAttitude} {GodName} está fazendo um massacre!,{TeamAttitude} {GodName} está fazendo um massacre!)","¡{Gender}|gender({TeamAttitude} {GodName} está en una masacre!,{TeamAttitude} {GodName} está en una masacre!)","{Gender}|gender({TeamAttitude}{GodName}が大暴れを達成しました！,{TeamAttitude}{GodName}が大暴れを達成しました！)","{Gender}|gender({TeamAttitude}{GodName}已经暴走！,{TeamAttitude}{GodName}已经暴走！)","{Gender}|gender({TeamAttitude} {GodName} wpada w szał!,{TeamAttitude} {GodName} wpada w szał!)","{Gender}|gender({TeamAttitude} {GodName} в буйстві!,{TeamAttitude} {GodName} в буйстві!)","{Gender}|gender({TeamAttitude} {GodName} в ярости!,{TeamAttitude} {GodName} в ярости!)","{Gender}|gender({TeamAttitude} {GodName} Kıyım yapıyor!,{TeamAttitude} {GodName} Kıyım yapıyor!)","HW.HUD.EventText"
"HW.HUD.EventText,Rampage.PlayerName","<PlayerName>{PlayerName}</> is on a Rampage!","{PlayerName} fait un massacre !","{PlayerName} verfällt in Raserei!","{PlayerName} está fazendo um massacre!","¡{PlayerName} está en una masacre!","{PlayerName}が大暴れを達成しました！","{PlayerName}已经暴走！","{PlayerName} wpada w szał!","{PlayerName} в буйстві!","{PlayerName} в ярости!","{PlayerName} Kıyım yapıyor!","HW.HUD.EventText"
"HW.HUD.EventText,Shutdown.GodName","{TeamAttitude1} <PlayerName>{GodName1}</> has Shut Down {TeamAttitude2} {GodName2}!","{TeamAttitude1} {GodName1} interrompt {TeamAttitude2} {GodName2} !","{TeamAttitude1} {GodName1} hat es geschafft. {TeamAttitude2} {GodName2} wurde ausgeschaltet!","{TeamAttitude1} {GodName1} acabou com {TeamAttitude2} {GodName2}!","¡{TeamAttitude1} {GodName1} anuló a {TeamAttitude2} {GodName2}!","{TeamAttitude1} {GodName1}が{TeamAttitude2} {GodName2}をシャットダウンしました！","{TeamAttitude1}{GodName1}已终结{TeamAttitude2}{GodName2}！","{TeamAttitude1} {GodName1} przerywa serię przeciwnika. {TeamAttitude2} {GodName2} upada!","{TeamAttitude1} {GodName1} перериває серію: {TeamAttitude2} {GodName2}!","{TeamAttitude1} {GodName1} совершает прерывание ({TeamAttitude2} {GodName2})!","{TeamAttitude1} {GodName1}, {TeamAttitude2} {GodName2} serisini sonlandırdı!","HW.HUD.EventText"
"HW.HUD.EventText,Shutdown.PlayerName","<PlayerName>{PlayerName1}</> has Shut Down {PlayerName2}!","{PlayerName1} interrompt {PlayerName2} !","{PlayerName1} hat {PlayerName2} ausgeschaltet!","{PlayerName1} acabou com {PlayerName2}!","¡{PlayerName1} anuló a {PlayerName2}!","{PlayerName1}が{PlayerName2}をシャットダウンしました！","{PlayerName1}已终结{PlayerName2}！","{PlayerName1} przerywa serię gracza {PlayerName2}!","{PlayerName1} перериває серію: {PlayerName2}!","{PlayerName1} совершает прерывание ({PlayerName2})!","{PlayerName1}, {PlayerName2} serisini sonlandırdı!","HW.HUD.EventText"
"HW.HUD.EventText,StructureKill.GodName","{TeamAttitude} <PlayerName>{GodName}</> has destroyed the {StructureName}!","{TeamAttitude} {GodName} a détruit : {StructureName} !","{TeamAttitude} {GodName} hat {StructureName} zerstört!"," {GodName} da equipe {TeamAttitude} destruiu {StructureName}!","¡{TeamAttitude} {GodName} destruyó: {StructureName}!","{TeamAttitude} {GodName}が{StructureName}を破壊！","{TeamAttitude} {GodName}已消灭{StructureName}！","{TeamAttitude} {GodName} niszczy: {StructureName}!","{TeamAttitude} {GodName} знищує: {StructureName}!","{TeamAttitude} {GodName} уничтожает: {StructureName}","{StructureName}, {TeamAttitude} {GodName} tarafından yok edildi!","HW.HUD.EventText"
"HW.HUD.EventText,StructureKill.PlayerName","<PlayerName>{PlayerName}</> has destroyed the {StructureName}!","{PlayerName} a détruit : {StructureName} !","{PlayerName} hat {StructureName} zerstört!","{PlayerName} destruiu {StructureName}!","¡{PlayerName} destruyó: {StructureName}!","{PlayerName}が{StructureName}を破壊！","{PlayerName}已消灭{StructureName}！","{PlayerName} niszczy: {StructureName}!","{PlayerName} знищує: {StructureName}!","{PlayerName} уничтожает: {StructureName}!","{StructureName}, {PlayerName} tarafından yok edildi!","HW.HUD.EventText"
"HW.HUD.EventText,TitanKill.GodName","{TeamAttitude} <PlayerName>{GodName}</> has slain the {TitanName}!","{TeamAttitude} {GodName} a détruit le {TitanName} !","{TeamAttitude} {GodName} hat {TitanName} getötet!","{TeamAttitude} {GodName} matou o {TitanName}!","¡{TeamAttitude} {GodName} asesinó al {TitanName}!","{TeamAttitude}{GodName}が{TitanName}を倒した！","{TeamAttitude}{GodName}击杀了{TitanName}！","{TeamAttitude} {GodName} pokonuje wroga – {TitanName}!","{TeamAttitude} {GodName} вбиває: {TitanName}!","{TeamAttitude} {GodName} побеждает: {TitanName} погибает!","{TitanName}, {TeamAttitude} {GodName} tarafından katledildi!","HW.HUD.EventText"
"HW.HUD.EventText,TitanKill.PlayerName","<PlayerName>{PlayerName}</> has slain the {TitanName}!","{PlayerName} a détruit le {TitanName} !","{PlayerName} hat {TitanName} getötet!","{PlayerName} matou o {TitanName}!","¡{PlayerName} asesinó al {TitanName}!","{PlayerName}が{TitanName}を倒した！","{PlayerName}击杀了{TitanName}！","{PlayerName} pokonuje wroga – {TitanName}!","{PlayerName} вбиває: {TitanName}!","{PlayerName} побеждает: {TitanName} погибает!","{TitanName}, {PlayerName} tarafından katledildi!","HW.HUD.EventText"
"HW.HUD.EventText,TripleKill.GodName","{Gender}|gender({TeamAttitude} <PlayerName>{GodName}</> has a Triple Kill!,{TeamAttitude} <PlayerName>{GodName}</> has a Triple Kill!)","{Gender}|gender({TeamAttitude} {GodName} fait un triplé !,{TeamAttitude} {GodName} fait un triplé !)","{Gender}|gender({TeamAttitude} {GodName} hat einen Triple-Kill erzielt!,{TeamAttitude} {GodName} hat einen Triple-Kill erzielt!)","{Gender}|gender({TeamAttitude} {GodName} fez uma eliminação tripla!,{TeamAttitude} {GodName} fez uma eliminação tripla!)","¡{Gender}|gender({TeamAttitude} {GodName} logró una eliminación triple!,{TeamAttitude} {GodName} logró una eliminación triple!)","{Gender}|gender({TeamAttitude}{GodName}がトリプルキルを達成しました！,{TeamAttitude}{GodName}がトリプルキルを達成しました！)","{Gender}|gender({TeamAttitude}{GodName}达成三杀！,{TeamAttitude}{GodName}达成三杀！)","{Gender}|gender({TeamAttitude} {GodName} zdobywa potrójne zabójstwo!,{TeamAttitude} {GodName} zdobywa potrójne zabójstwo!)","{Gender}|gender({TeamAttitude} {GodName} вчинив потрійне вбивство!,{TeamAttitude} {GodName} вчинила потрійне вбивство!)","{Gender}|gender({TeamAttitude} {GodName} совершил тройное убийство!,{TeamAttitude} {GodName} совершила тройное убийство!)","{Gender}|gender({TeamAttitude} {GodName} Üçlü Katliam yaptı!,{TeamAttitude} {GodName} Üçlü Katliam yaptı!)","HW.HUD.EventText"
"HW.HUD.EventText,TripleKill.PlayerName","<PlayerName>{PlayerName}</> has a Triple Kill!","{PlayerName} fait un triplé !","Triple-Kill von {PlayerName}!","{PlayerName} fez uma eliminação tripla!","¡{PlayerName} logró una eliminación triple!","{PlayerName}がトリプルキルを達成しました！","{PlayerName}达成三杀！","{PlayerName} zdobywa potrójne zabójstwo!","{PlayerName} чинить потрійне вбивство!","{PlayerName} совершает тройное убийство!","{PlayerName} Üçlü Katliam yaptı!","HW.HUD.EventText"
"HW.HUD.EventText,Unstoppable.GodName","{Gender}|gender({TeamAttitude} <PlayerName>{GodName}</> is Unstoppable!,{TeamAttitude} <PlayerName>{GodName}</> is Unstoppable!)","{Gender}|gender({TeamAttitude} {GodName} est inarrêtable !,{TeamAttitude} {GodName} est inarrêtable !)","{Gender}|gender({TeamAttitude} {GodName} ist unaufhaltbar!,{TeamAttitude} {GodName} ist unaufhaltbar!)","{Gender}|gender({TeamAttitude} {GodName} é imparável!,{TeamAttitude} {GodName} é imparável!)","¡{Gender}|gender({TeamAttitude} {GodName} es imparable!,{TeamAttitude} {GodName} es imparable!)","{Gender}|gender({TeamAttitude}{GodName}が制止不能を達成しました！,{TeamAttitude}{GodName}が制止不能を達成しました！)","{Gender}|gender({TeamAttitude}{GodName}已无人能挡！,{TeamAttitude}{GodName}已无人能挡！)","{Gender}|gender({TeamAttitude} {GodName} jest niepowstrzymany!,{TeamAttitude} {GodName} jest niepowstrzymana!)","{Gender}|gender({TeamAttitude} {GodName} – нестримний!,{TeamAttitude} {GodName} – нестримна!)","{Gender}|gender({TeamAttitude} {GodName} теперь неудержим!,{TeamAttitude} {GodName} теперь неудержима!)","{Gender}|gender({TeamAttitude} {GodName} Durdurulamıyor!,{TeamAttitude} {GodName} Durdurulamıyor!)","HW.HUD.EventText"
"HW.HUD.EventText,Unstoppable.PlayerName","<PlayerName>{PlayerName}</> is Unstoppable!","{PlayerName} est inarrêtable !","{PlayerName} ist unaufhaltbar!","{PlayerName} está imparável!","¡{PlayerName} es imparable!","{PlayerName}が制止不能を達成しました！","{PlayerName}无人能挡！","{PlayerName} jest nie do zatrzymania!","{PlayerName} ніхто не зупинить!","{PlayerName} обладает неудержимостью!","{PlayerName} Durdurulamıyor!","HW.HUD.EventText"
